Date,Regular_Price,Discounted_Price,Discount_Rate,Promotion_Type,Promotion_Duration,Month,Month_Sin,Month_Cos,Day_of_Week,Is_Holiday,Supermarket_Type,Location_Type,Store_Traffic,Planned_Promotions_7_Days,Planned_Promotions_30_Days,Sales_Volume
2023-01-01,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,6,0,Big,Suburban,708,0,0,121
2023-01-02,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,0,0,Big,City Center,1176,0,0,115
2023-01-03,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,1,0,Medium,Suburban,655,0,0,109
2023-01-04,5.0,4.4604086833054915,0.10791826333890175,Percentage,1,1,0.4999999999999999,0.8660254037844386,2,0,Big,Suburban,668,0,0,132
2023-01-05,5.0,5.0,0.0,Flash Sale,1,1,0.4999999999999999,0.8660254037844386,3,0,Medium,Suburban,573,0,0,141
2023-01-06,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,4,0,Big,City Center,1269,0,3,125
2023-01-07,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,5,0,Medium,Suburban,621,0,1,99
2023-01-08,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,6,0,Big,Suburban,653,0,0,121
2023-01-09,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,0,0,Medium,City Center,1085,0,0,100
2023-01-10,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,1,0,Medium,City Center,994,0,0,96
2023-01-11,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,2,0,Big,Suburban,674,0,0,127
2023-01-12,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,3,0,Medium,Suburban,707,0,0,95
2023-01-13,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,4,0,Big,Suburban,694,0,0,119
2023-01-14,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,5,0,Small,Suburban,516,0,0,75
2023-01-15,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,6,0,Big,Suburban,678,0,9,125
2023-01-16,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,0,0,Medium,City Center,1087,0,0,106
2023-01-17,5.0,5.0,0.0,Flash Sale,3,1,0.4999999999999999,0.8660254037844386,1,0,Medium,City Center,960,0,0,146
2023-01-18,5.0,5.0,0.0,None,0,1,0.4999999999999999,0.8660254037844386,2,0,Big,Suburban,800,4,0,124
